image_id,pseudo_report,verdict,raw_response
1000_IM-0003-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, tram track sign of optic nerve, tram track sign of optic nerve, Hauptmerkmale der Leber, applesauce sign(EN). The dominant concept is 'pipestem ureter' (activation=0.161).",Uncertain,ERROR: No module named 'openai'
1000_IM-0003-2001.dcm.png,"The model identifies the following visual concepts in this radiograph: applesauce sign(EN), bare orbit sign, navicular fat stripe sign, attachment to vessel, thin rim. The dominant concept is 'applesauce sign(EN)' (activation=0.167).",Uncertain,ERROR: No module named 'openai'
1000_IM-0003-3001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, bronchopulmonary lymph node, tram track sign of optic nerve, twin peak sign, endostale VerdÃ¼nnung der Kortikalis. The dominant concept is 'pipestem ureter' (activation=0.124).",Uncertain,ERROR: No module named 'openai'
1011_IM-0013-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, tram track sign of optic nerve, tram track sign of optic nerve, heel pad sign (EN), VI-RADS assessment. The dominant concept is 'pipestem ureter' (activation=0.184).",Uncertain,ERROR: No module named 'openai'
1011_IM-0013-1002.dcm.png,"The model identifies the following visual concepts in this radiograph: attachment to vessel, navicular fat stripe sign, bare orbit sign, leafless tree sign (EN), heel pad sign (EN). The dominant concept is 'attachment to vessel' (activation=0.150).",Uncertain,ERROR: No module named 'openai'
1013_IM-0013-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, tram track sign of optic nerve, tram track sign of optic nerve, bear paw sign, Elfenbeinwirbel. The dominant concept is 'pipestem ureter' (activation=0.199).",Uncertain,ERROR: No module named 'openai'
1013_IM-0013-2001.dcm.png,"The model identifies the following visual concepts in this radiograph: attachment to vessel, navicular fat stripe sign, late washout (CEUS), applesauce sign(EN), bare orbit sign. The dominant concept is 'attachment to vessel' (activation=0.178).",Uncertain,ERROR: No module named 'openai'
1015_IM-0013-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, blister-of-the-cervix sign, tram track sign of optic nerve, tram track sign of optic nerve, diastolic washout sign. The dominant concept is 'pipestem ureter' (activation=0.165).",Uncertain,ERROR: No module named 'openai'
1015_IM-0013-2001.dcm.png,"The model identifies the following visual concepts in this radiograph: attachment to vessel, navicular fat stripe sign, bare orbit sign, leafless tree sign (EN), heel pad sign (EN). The dominant concept is 'attachment to vessel' (activation=0.163).",Uncertain,ERROR: No module named 'openai'
1023_IM-0018-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: tram track sign of optic nerve, pipestem ureter, tram track sign of optic nerve, applesauce sign(EN), bear paw sign. The dominant concept is 'tram track sign of optic nerve' (activation=0.204).",Uncertain,ERROR: No module named 'openai'
1023_IM-0018-2001.dcm.png,"The model identifies the following visual concepts in this radiograph: navicular fat stripe sign, applesauce sign(EN), bare orbit sign, attachment to vessel, heel pad sign (EN). The dominant concept is 'navicular fat stripe sign' (activation=0.161).",Uncertain,ERROR: No module named 'openai'
1026_IM-0021-2002.dcm.png,"The model identifies the following visual concepts in this radiograph: tram track sign of optic nerve, pipestem ureter, tram track sign of optic nerve, gloved finger sign (EN), little finger sign (EN). The dominant concept is 'tram track sign of optic nerve' (activation=0.199).",Uncertain,ERROR: No module named 'openai'
1027_IM-0021-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, tram track sign of optic nerve, tram track sign of optic nerve, onion ring appearance, Hauptmerkmale der Leber. The dominant concept is 'pipestem ureter' (activation=0.159).",Uncertain,ERROR: No module named 'openai'
1027_IM-0021-2001.dcm.png,"The model identifies the following visual concepts in this radiograph: navicular fat stripe sign, attachment to vessel, bare orbit sign, heel pad sign (EN), leafless tree sign (EN). The dominant concept is 'navicular fat stripe sign' (activation=0.174).",Uncertain,ERROR: No module named 'openai'
1029_IM-0022-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, tram track sign of optic nerve, tram track sign of optic nerve, parasternal lymph node, homogeneous mass enhancement. The dominant concept is 'pipestem ureter' (activation=0.184).",Uncertain,ERROR: No module named 'openai'
102_IM-0016-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: tram track sign of optic nerve, pipestem ureter, visible internal vessels, tram track sign of optic nerve, participating tail. The dominant concept is 'tram track sign of optic nerve' (activation=0.147).",Uncertain,ERROR: No module named 'openai'
102_IM-0016-2001.dcm.png,"The model identifies the following visual concepts in this radiograph: navicular fat stripe sign, attachment to vessel, heel pad sign (EN), bare orbit sign, leafless tree sign (EN). The dominant concept is 'navicular fat stripe sign' (activation=0.169).",Uncertain,ERROR: No module named 'openai'
103_IM-0023-1001.dcm.png,"The model identifies the following visual concepts in this radiograph: pipestem ureter, tram track sign of optic nerve, tram track sign of optic nerve, applesauce sign(EN), diastolic washout sign. The dominant concept is 'pipestem ureter' (activation=0.193).",Uncertain,ERROR: No module named 'openai'
